長島（海馬１）,macro|naito|drift,初級～,ボート,初級～,平均8ｍ／最大15ｍ,弱い,幌武意港から6分のスタンダードポイントで講習や体験ダイビングに適した場所。水深８ｍ位から徐々に落ちていく水底は砂地。 ,アイナメ、エゾメバル、ウスメバル、キツネメバル、コブダイ幼魚、イシダイ幼魚、リュウグウハゼ１０月後半からケムシカジカ、ホッケ、ミズダコ１１月中旬からホテイウオ、ダンゴウオ、フウセンウオ、トド（海馬）,43.354267,140.529213
竹島（海馬２）,macro|naito|drift,初級～,ボート,初級～,平均10ｍ／最大18ｍ,弱い,幌武意港から5分。５ｍの岩盤から９ｍまで潜り、砂とゴロタが混じった１５ｍラインに帰りは浅瀬に。,アイナメ、エゾメバル、キツネメバル、コブダイ幼魚、イシダイ幼魚、リュウグウハゼ、キュウセン、アミメハギ１０月後半からケムシカジカ、ホッケ、ミズダコ１１月中旬からホテイウオ、ダンゴウオ、フウセンウオ、トド（海馬）,43.358137,140.531616
マッカ岬（海馬３）,iruka|macro|naito|drift,初級～,ボート,初級～,平均12ｍ／最大23ｍ,弱い,幌武意港から4分。水深８ｍまで潜り柱状節理の岩盤をみながら岬を一周。水路を通りボートにエキジット。 ,アイナメ、クジメ、エゾメバル、ウスメバル、キツネメバル、コブダイ幼魚、イシダイ幼魚、リュウグウハゼ、コケギンポ、ヒラメ、鮭、運が良ければマグロ。１０月後半からケムシカジカ、ホッケ、ミズダコ、１１月中旬からホテイウオ、ダンゴウオ、フウセンウオ、トド（海馬）,43.361631,140.52887
前浜,naito|drift,初級～,ボート,初級～,平均7ｍ／最大13ｍ,弱い,幌武意港から4分。体験、ナイトダイビングポイント。水底は大きな岩盤、岩は柱状節理。 ,アイナメ、エゾメバル、キツネメバル、コブダイ幼魚、イシダイ幼魚、リュウグウハゼ、キュウセン、アミメハギ、ワタリガニ１０月後半からケムシカジカ、ホッケ、ミズダコ１１月中旬からホテイウオ,43.360009,140.518055
女郎子岩,iruka,初級～,ボート,初級～,平均10ｍ／最大23ｍ,弱い,幌武意港から10分。ボートまたは岩盤よりエントリー。岩が複雑に入り組んでいるポイント。 ,アイナメ、エゾメバル、キツネメバル、コブダイ幼魚、イシダイ幼魚、リュウグウハゼ、キュウセン、アミメハギ１０月後半からケムシカジカ、ホッケ、ミズダコ１１月中旬からホテイウオ,43.376356,140.495224
タケノコ岩,iruka,中級～,ボート,中級～,平均18ｍ／最大24ｍ,強い,幌武意港から15分。ボートまたは岩盤よりエントリー。波を避けられる穏やかな水深２ｍの入り江がある。 ,２ｍから７ｍそして一気に２０ｍまでドロップ。隠れ根、洞窟もある。 １０月後半からケムシカジカ、ホッケ、ミズダコ、１１月中旬からホテイウオ、クサウオ、トド,43.376731,140.491276
軍艦の隠れ根（東）,,中・上級～,ボート,中・上級～,平均15ｍ／最大28ｍ,強い,幌武意港から16分 根の上で１．５ｍ一気に水底にディープ。隠れ根が5ヶ所。,１０月後半からケムシカジカ、ホッケ、ミズダコ１１月中旬からホテイウオ、クサウオ、トド１０月後半のホッケの捕食はみごと水深１５ｍから水面近くまで円柱のホッケの柱が数箇所で見られる,43.3796,140.485096
軍艦の隠れ根（西）,,中・上級～,ボート,中・上級～,平均15ｍ／最大28ｍ,強い,幌武意港から16分。５ｍから水路を通り沖合いへ。大きな根が２個。 ,アイナメ、エゾメバル、キツネメバル、コブダイ幼魚、イシダイ幼魚、リュウグウハゼ、キュウセン、アミメハギ１０月後半からケムシカジカ、ホッケ、ミズダコ１１月中旬からホテイウオ、トド,43.3796,140.481834
キャニオン,iruka|macro,初級～,ボート,初級～,平均10ｍ／最大22ｍ,弱い,幌武意港から17分。砂地からそびえ立つ柱状節理は積丹半島１番であろう。浅瀬ほど素晴らしい。陸上も写真に収めたいポイント。,アイナメ、エゾメバル、キツネメバル、コブダイ幼魚、イシダイ幼魚、リュウグウハゼ、キュウセン、アミメハギ１０月後半からケムシカジカ、ホッケ、ミズダコ１１月中旬からホテイウオ、トド,43.378477,140.475655
テックイポイント,iruka,中級～,ボート,中級～,平均18ｍ／最大28ｍ,強い,幌武意港から17分 ６月から８月末迄のスペシャルポイント。産卵期を迎える巨大ヒラメの根。片斜の柱状節理の大きな岩盤にトランプ状態でいる。大きなものでメーターオーバーも８０cm～９０cmも多い。,１０月後半からホッケ、ミズダコ１１月中旬からトド,43.376232,140.471535
トレッキングポイント,,初級～,ボート,初級～,平均7ｍ／最大14ｍ,弱い,幌武意港から17分。柱状節理の上で休息できトレッキングもでき波の影響を受けずらいし透明度も良い講習、体験、ビーチ、ボートからエントリー出来るポイント。,アイナメ、クジメ、スズメダイ,43.374859,140.46999
神威岬,kaiyugyo,中級～,ボート,中級～,平均18ｍ／最大32ｍ,強い,幌武意港から30分。ダイバーの憧れのポイント。この岬は潮の流れが速く透明度も良いし魚が他に比べて巨大です。見所は春、秋、溝（ディッチ）に巨大なアイナメ、クロイソ、シマゾイの団地があり密度は水族館並み。,９月からのマグロは一見の価値有り。１１月中旬からホテイウオ、トド ,43.337415,140.344162
レック眞岡丸,,上級～,ボート,上級～,平均38ｍ／最大46ｍ,強い,祝津魚港から30分。１２００トンクラスの商船。終戦後５０年目に発見。船長７０ｍ、幅１５ｍ、船上には５００トンもの５００、２５０、１００、５０、１０キロ爆弾、機関銃弾等がちらばっています。天然の漁礁になっているらしく巨大なクロイソ、アイナメ、エゾメバルが多い。潜行していくと迎えにきてくれる。大きな３匹のフサギンポがいます。ちなみにウエルカムギンポと呼んでいます。 ,,43.380599,140.356178
美国宝島　東,macro,初心者～,ボート4分,初心者～,平均6ｍ／最大22ｍ,,美国港から約4分。水深6Ｍから岩場から水深22Ｍまでの平均的な「かけあがり」地形。水底部は砂地。アマモも見られ、マクロ・ワイドの水中撮影からトレーニングダイブや体験も可能なポイント。,アイナメ、メバル、キビナゴ、オウゴンムラソイ、アツモリウオ、コブダイ幼魚、イシダイ、リュウグウハゼ、ケムシカジカ、ホッケ、ミズダコ、ムツサンゴ、フサギンポ、サクラミノウミウシ、アオウミウシ、他冬季12月～3月位までトド・アザラシ,43.306068,140.603971
美国宝島　西,macro,初心者～,ボート4分,初心者～,平均6ｍ／最大13ｍ,なし,美国港から約4分。水深5Ｍの湾状の地形は、エントリー講習には最適な安定した海況を提供。沖にむけてはなだらかに深くなり、水底も岩・礫・砂と生物の生息環境も豊富。マクロ・ワイドの水中撮影からトレーニングダイブや体験も可能なポイント。,オキカズナギ、コケギンポ,オウゴンムラソイ、アキギンポ、スズメダイ、コブダイ幼魚、イシダイ、リュウグウハゼ、オイランカジカ、ホッケ、ミズダコ、ムツサンゴ、フサギンポ、シロウミウシ、アオウミウシ、他冬季12月～3月位までトド・アザラシ,43.308129,140.59865
ビアノ隠れ根,chikei,初心者～,ボート8分,初心者～,平均10ｍ／最大23ｍ,まれにあり,美国港から約8分というとても近い水域で観光名所「ビアノ岬」が水中にも。それが「ビアノ隠根」。隠れ根というからに、水面から姿を見ることはできず水中でダイバー達を待っています。水底約23Ｍの砂地に突如そびえ立つ柱状摂理の岩盤地形ポイント。水底23Ｍ～そびえ立つ、「水中柱状摂理」は圧巻です。大海原の真中にあることから水中の透明度は良い時で25Mにもなります。地形派ダイバー・ディープダイバー・ドロップオフの好きなダイバーに人気のポイントです。,,43.318684,140.592041
